Ааронов	aaron
свидетельница	witness,eye-witness
свидетельский	witness
свидетельство	evidence,testimony,illustration,certificate,licence
свидетельствовать	witness,testify,give evidence,be evidence
свидеться	meet
свилеватый	knotty,knaggy
свинарка	pig-tender
свинарник	pigsty,pigpen
свинарь	pig-tender
свинец	lead
свинина	pork meat
свинка	mumps
свиновод	pig-breeder
свиноводство	pig-breeding,swine-breeding,hog-breeding
свиноводческий	pig-breeding,swine-breeding,hog-breeding
свиной	adjective of свинья
свиноматка	sow
свинопас	swine-herd
свиноферма	pig farm
свинский	swinish
свинство	swinishness,swinish trick
свинуха	flat-cap mushroom
свинушка	flat-cap mushroom
свинцовый	leaden,lead,leaden-coloured,plumbeous
свинчивать	screw together,unscrew
свинья	pig,swine,hog,sow,boar
свирель	pipe,reed
свирепеть	grow furious
свирепость	fierceness,ferocity
свирепствовать	rage
свирепый	fierce,ferocious,truculent,violent
свиристель	waxwing
свисать	hang down,droop,dangle,trail,slouch
свиснуть	hang down,droop,dangle,trail,slouch
свист	whistle,singing,piping,whine,whizz
свистать	whistle,sing,pipe,whine
свистеть	whistle,sing,pipe,whine
свистнуть	whistle,give a whistle,slap,smack,sneak
свисток	whistle
свистопляска	pandemonium
свистулька	whistle
свистун	whistler
свистунья	whistler
свистящий	sibilant
свита	suite,retinue
свитер	sweater
свиток	roll,scroll
свить	twist,weave
свиться	coil,roll up
свихнуть	dislocate,put out of joint
свихнуться	go wrong,go astray
свищ	fistula,flaw,honeycomb,knot hole
свобода	freedom,liberty
свободно	freely,easily
свободный	free,natural,easy,vacant,loose
свободолюбивый	freedom-loving
свободолюбие	love of freedom
свободомыслие	free-thinking
свободомыслящий	free-thinking,free-thinker
свод	arch,vault,code
сводить	take,reduce,reduce to zero,remove,trace
сводиться	come,come off
сводка	summary,report,revise
сводник	procurer,pander,pimp
сводница	procuress
сводничать	procure,pander,pimp
сводничество	procuration,pandering,pimping
сводный	summary,combined,composite
сводчатый	arched,vaulted
своевластный	despotic
своеволие	self-will,wilfulness
своевольничать	be self-willed,be wilful
своевольный	self-willed,wilful
своевременно	in time,in proper time,opportunely
своевременность	timeliness,opportuneness
своевременный	timely,opportune,well-timed
своекорыстие	self-interest
своекорыстный	self-interested,self-seeking
своекоштный	paying
своенравие	wilfulness,waywardness,self-will,capriciousness
своенравность	wilfulness,waywardness,self-will,capriciousness
своенравный	wilful,wayward,self-willed,capricious
своеобразие	originality,peculiarity
своеобразность	originality,peculiarity
своеобразный	original,distinctive,peculiar
свозить	bring together,take
свой	my,your,his,her,our
свойский	simple,homely
свойственный	peculiar
свойство	property,characteristics,relationship by marriage,affinity
сволакивать	drag
сволочной	worthless,rubbishy
сволочь	bastard,scum,swine,riff-raff
свора	lead,leash,slip,pack,gang
сворачивать	displace,remove,turn,swing
своровать	steal,pilfer
своротить	displace,remove,turn,swing
свояк	brother-in-law
свояченица	sister-in-law
свыкаться	get used
свыкнуться	get used
свысока	in a haughty manner
свыше	from above,from heaven,over,beyond
связанный	connected (with something),constrained (by something)
связать	tie together,bind,connect
связаться	communicate,have to do
связист	postal telecommunications worker,signaller
связка	sheaf,bunch,chord,copula,ligament
связник	messenger
связной	liaison,messenger,orderly,runner
связность	connectedness,coherency,coherence
связный	connected,coherent
связочный	ligamentous
связующий	connecting,linking
связывать	tie together,bind,connect
связываться	communicate,have to do
связь	connection,link,bond,communication
святая	easter-week
святейший	most holy
святилище	sanctuary
святитель	saint
святить	consecrate,sanctify
святки	christmas-tide,yule-tide
свято	piously
святой	saint,holy one,holy,sacred
святость	holiness,sanctity
святотатство	sacrilege
святотатствовать	commit sacrilege
святочный	christmas
святоша	hypocrite,sanctimonious person
святцы	calendar
святыня	object of worship,sacred place
священник	priest,clergyman
священнический	priestly,sacerdotal,ecclesiastical
священнодействие	religious rite,solemn performance
священный	sacred,holy
священство	priesthood
свёкла	beet,beetroot
свёкор	father-in-law,husband's father
свёрстывать	impose
свёрток	package,parcel,bundle
свёртываемость	coagulability
свёртывание	rolling up,curtailment,reduction,cutting down,turning
свёртывать	roll up,curtail,reduce,cut down,turn
свёртываться	curl up,roll up,coil up,curdle,coagulate
сгиб	bend,flexion
сгибатель	flexor
сгибать	bend,crook,curve,fold,bow
сгибаться	bend,bow,stoop
сгинуть	disappear,vanish
сгладить	smooth out
сглаживать	smooth out
сглаживаться	smooth out,become smooth
сглаз	evil eye,hex,jinx,whammy
сглазить	jinx,curse
сгнивать	rot,decay
сгнить	rot,decay
сгноить	rot,let rot
сговариваться	arrange things,make an appointment
сговор	collusion,collusiveness,betrothal
сговориться	arrange things,make an appointment
сговорчивость	compliancy,tractability
сговорчивый	compliant,tractable,complaisant
сгонять	drive away,drive together
сгорание	combustion
сгорать	be burnt down,be consumed,be used up,burn
сгорбить	arch,hunch
сгорбленный	crooked,bent,hunched
сгореть	be burnt down,be consumed,be used up,burn
сгоряча	in a fit of temper,in the heat of the moment,rashly
сготовить	cook,make
сгребать	shovel
сгрести	shovel
сгрудиться	crowd,bunch
сгружать	unload
сгрузить	unload
сгрызать	chew
сгрызть	chew
сгубить	ruin
сгустить	thicken,condense
сгусток	clot
сгущаемость	condensability
сгущать	thicken,condense
сгущаться	thicken,clot,condense
сгущение	thickening,clotting,condensation
сгущёнка	condensed milk
сдабривать	flavour,make rich,spice
сдавать	rent out,let out,take an exam,pass an exam,turn in to the authorities
сдаваться	surrender,yield,give in,give way
сдавить	squeeze
сдавленный	constrained
сдавливать	squeeze
сдаточный	delivery
сдать	rent out,let out,take an exam,pass an exam,rat out
сдаться	give up,surrender,throw in the towel
сдача	surrender,deal,change
сдваивание	doubling
сдваивать	double
сдвиг	displacement,change for the better,progress,improvement,dislocation
сдвигать	move,push together
сдвигаться	move,budge
сдвижной	movable
сдвинуть	move,push together
сдвоить	double
сделать	make,do
сделаться	become,turn into,happen
сделка	transaction,deal,bargain
сдельно	by the job
сдельный	by the job,job
сдельщик	piece-worker
сдельщина	piece-work
сдержанно	with restraint,with discretion,with reserve
сдержанность	restraint,reserve,reticence,discretion
сдержанный	restrained,reserved,discreet
сдержать	hold in,keep back,restrain,hold in check,contain
сдерживать	hold in,keep back,restrain,hold in check,contain
сдерживаться	hold oneself in check
сдирать	strip strip off,scratch off
сдоба	shortening,cakes,buns
сдобный	rich,short
сдобренный	larded
сдобрить	flavour,make rich,spice
сдохнуть	die,croak
сдрейфить	show the white feather
сдружить	bring together,unite in friendship
сдружиться	become friends
сдувать	crib
сдуру	out of foolishness,foolishly
сдуть	crib
сдёргивать	pull off
сдёрнуть	pull off
сеанс	seance,performance,sitting
себестоимость	cost,cost price
себя	ourselves,yourselves,himself,herself,itself
себялюбец	egoist,self-lover
себялюбивый	selfish,egoistical,self-loving
себялюбие	self-love,egoism
сев	sowing
севастополец	sevastopolitan,sevastopolian
север	north
севернее	to the north,northward,further north
северный	north,northern
северо	north
северо-восток	north-east
северо-восточный	north-east,north-eastern,north-easterly
северо-запад	north-west
северо-западный	north-west,north-western,north-westerly
североатлантический	north-atlantic
северокорейский	north-korean
североморец	sailor of the northern sea fleet
северянин	northerner
севооборот	rotation of crops,crop rotation,shift of crops
севрюга	stellate sturgeon
сегмент	segment
сегментация	segmentation
сего	this
сегодня	today
сегодняшний	today,today's
сегрегация	segregation
седалище	seat
седалищный	sciatic
седельник	saddler,saddle-maker
седельный	adjective of седло
седеть	be touched with grey
седеющий	grizzled,greying
седина	grey hair,grey streaks
седлать	saddle
седло	saddle
седловина	saddle,col
седобородый	grey-bearded
седоватый	greyish,grizzly
седовласый	grey-headed,grey-haired
седой	grey,grey-haired,flecked with white
седок	horseman,rider,fare
седоусый	with grey moustaches
седьмой	seventh
седёлка	saddle
сезам	sesame
сезон	season
сезонник	seasonal worker
сезонность	seasonal prevalence
сезонный	seasonal
сей	this
сейна	seine
сейнер	seiner
сейнерный	seiner
сейсмика	seismicity
сейсмический	seismic
сейсмограмма	seismogram
сейсмограф	seismograph
сейсмографический	seismographic
сейсмография	seismography
сейсмолог	seismologist
сейсмологический	seismological
сейсмология	seismology
сейсмометр	seismometer
сейф	safe
сейчас	now,soon,at once
секанс	secant
секатор	secateur,pruning-shears,pruning-scissors,pruners
секач	chopper,boar
секвестр	sequestration,sequestrum
секвестровать	sequestrate,sequester
секира	pole-axe
секрет	secret,listening post,secretion
секретариат	secretariate
секретарский	secretarial
секретарство	secretaryship,secretarial duties
секретарствовать	be a secretary
секретарша	secretary
секретарь	secretary
секретер	secretaire,escritoire
секретин	secretin
секретничать	be secretive,keep secret dark,converse in confidential tones
секретно	secretly,covertly,in secret
секретность	secrecy
секретный	secret,confidential
секреторный	secretory
секреция	secretion
секс	sex
сексизм	sexism
сексист	sexist (male)
сексистка	sexist (female)
сексистский	sexist
сексолог	sexologist
сексология	sexology
секста	sixth
секстант	sextant
секстет	sextet,sestet
сексуальность	sexuality
сексуальный	sexual
секта	sect
сектант	sectarian,member of a sect
сектантский	sectarian
сектантство	sectarianism
сектор	sector,department
секуляризация	secularization
секуляризировать	secularize
секунда	second
секундант	second
секундный	adjective of секунда
секундомер	stop-watch
секущий	secant
секционный	sectional
секция	section
селезень	drake
селезёнка	spleen
селезёночный	splenic,splenetic
селектор	selector,selector switch
селекторный	adjective of селектор
селекционер	selectionist
селекционный	selection,selective
селекция	selection
селен	selenium
селение	settlement,village,hamlet
селенистый	selenitic
селенит	selenite
селеновый	selenic,selenium
селенограф	selenography
селенолог	specialist in selenology
селенология	selenology
селитра	saltpetre,nitre
селитряный	saltpetre,nitre
селить	settle,lodge
селиться	settle
село	village
сель	mud flows,mud-torrents
сельдерей	celery
сельдь	herring
сельдяной	herring
селькор	rural correspondent
сельпо	village general stores
сельский	rural
сельскохозяйственный	agricultural,farming
сельсовет	village soviet
селянин	peasant,villager
селёдка	herring
селёдочница	herring-dish
селёдочный	herring
семантика	semantics,meaning
семантический	semantic
семасиологический	semasiological
семасиология	semasiology
семафор	semaphore signal post
семейный	domestic,family
семейственность	attachment to family life,nepotism
семейственный	domestic,family,nepotic
семейство	family
семенить	mince
семенник	testicle,pericarp
семенной	seed,seminal,spermatic
семеновод	seed-grower
семеноводство	seed-growing,seed-farming
семеноводческий	seedgrowing
семеноносный	seminiferous
семеричный	septenary
семерной	sevenfold,septuple
семеро	seven
семестр	term,semester
семестровый	terminal,semester
семечко	sunflower seeds
семидесятилетие	seventieth anniversary,seventieth birthday,seventy years
семидесятилетний	of seventy years,seventy-year,of seventy,seventy-year-old
семидесятый	seventieth
семижильный	tough,hardy
семиклассник	seventh-form boy,seventh-former
семиклассница	seventh-form girl
семикратный	sevenfold,septuple
семилетие	seventh anniversary,seven years
семилетка	seven-year school,seven-year-old child,child of seven
семилетний	of seven years,seven-year,septennial,of seven,seven-year-old
семинар	seminar
семинарист	seminarian,seminarist
семинария	seminary
семисотлетие	seven-hundredth anniversary,seven hundred years,seven centuries
семисотлетний	of seven hundred years,seven-hundredth
семисотый	seven-hundredth
семиструнный	seven-stringed,heptachord
семит	semite
семитический	semitic
семитолог	semitologist
семитология	semitology
семитысячный	the seven-thousandth,seven thousand roubles worth
семиугольник	heptagon,septangle
семиугольный	heptagonal,septangular
семичасовой	of seven hours,seven-hour
семнадцатилетний	of seventeen years,seventeen-year,of seventeen,seventeen,seventeen-year-old boy
семнадцатый	seventeenth
семнадцать	seventeen
семь	seven,7
семьдесят	seventy
семьсот	seven hundred
семью	seven times
семья	family
семьянин	family man
семя	seed,semen,sperm
семядоля	seed-lobe,cotyledon
семяизлияние	ejaculation
семяпочка	seed-bud
семёрка	seven,number seven
сенат	senate
сенатор	senator
сенаторский	senatorial
сенатский	adjective of сенат
сенегалец	senegalese
сенегалка	senegalese
сенегальский	senegalese
сени	inner porch,outer entrance hall
сенник	hay-mattress,barn
сенной	hay
сено	hay
сеновал	mow,hayloft
сеноворошилка	hay spreader,hay tedder
сенозаготовки	hay purchasing
сенокопнитель	hay-stacker
сенокос	hay-mowing,haymaking,haying,haymaking time,mowing time
сенокосилка	mowing-machine
сенокосный	haying
сеносушилка	hay-drier
сеноуборка	hay harvesting,haymaking
сенсационный	sensational
сенсация	sensation
сенсимонизм	saint-simonism
сенсимонист	saint-simonist
сенсорный	sensory
сенсуализм	sensationalism,sensualism
сенсуалист	sensationalist,sensualist
сенсуальный	sensational,sensual
сентенциозный	sententious
сентенция	maxim
сентиментализм	sentimentalism
сентиментальничать	be sentimental,sentimentalize
сентиментальность	sentimentality
сентиментальный	sentimental
сентябрь	september
сентябрьский	adjective of сентябрь
сень	canopy
сеньор	seignior,seigneur
сепаратизм	separatism
сепаратист	separatist
сепаратистка	separatist
сепаратистский	separative
сепаратный	separate
сепаратор	separator
сепия	sepia,sepia drawing,sepia photograph,cuttlefish
сепсис	septicaemia,sepsis
септет	septet
септима	seventh
септический	septic
сера	sulphur,brimstone,ear-wax,cerumen
сераль	seraglio
серафим	seraph
серб	serb,serbian
сербка	serb,serbian
сербский	serbian
сербскохорватский	serbo-croat
сервант	sideboard
сервер	server
сервиз	service,set
сервировать	serve
сервировка	laying,serving,table appointments
сервис	service
сердечник	core,heart specialist,heart case,heart sufferer
сердечно-сосудистый	cardio-vascular
сердечность	cordiality
сердечный	heart,cardiac,tender,loving,cordial
сердито	angrily
сердитый	angry,cross,strong
сердить	make angry,anger
сердиться	be angry,be cross
сердобольность	tender-heartedness,compassion
сердобольный	tender-hearted,compassionate
сердолик	cornelian,sard
сердце	heart
сердцебиение	palpitation,tachycardia
сердцевед	of human nature
сердцевидный	heart-shaped,cordate
сердцевина	core,pith,heart
сердцеед	lady-killer
серебрение	silvering
серебреник	silver coin,piece of silver
серебристость	silveriness
серебристый	silvery,silver
серебрить	silver,silver-plate
серебриться	silver,become silvery
серебро	silver
сереброносный	argentiferous
серебряник	silversmith
серебряный	silver
серебрённый	silver-plated
середина	middle,midst
серединный	middle,mean,central
середняк	peasant of average means
серенада	serenade
серенький	grey,dull
сереть	grey,show grey
сержант	sergeant
сериал	series,tv series,show
серийный	serial
серия	series
сермяга	coarse heavy cloth,coarse heavy caftan
серна	chamois
сернистый	sulphureous,sulphury
серный	sulphuric,sulphurous,sulphury
серо	grey,cloudily
сероватый	greyish
сероводород	sulphurettedz hydrogen,hydrogen sulphide
сероглазый	grey-eyed
серозный	serous
серость	grey colour,dullness,ignorance
серотерапия	serotherapy
сероуглерод	carbon bisulphide
серп	sickle,reaping-hook
серпантин	paper streamer,serpentine road
серпентин	serpentine
серповидный	crescent,falcate
серсо	hoopla,ring
сертификат	certificate
серум	serum
серфинг	surfing
серый	grey,dull,dim
серьга	ear-ring,link,slip-rope
серьёзничать	pretend to be serious
серьёзно	seriously,earnestly,in earnest
серьёзность	seriousness,earnestness,gravity
серьёзный	serious,earnest,grave
серёжка	earrings
сессионный	sessional
сессия	session,sitting,term
сестерций	sesterce
сестра	sister,nurse
сестра-хозяйка	matron
сестричка	little sister
сестрёнка	little sister
сесть	sit down
сетевой	network
сетка	net,netting,gauze,rack,butterfly-net
сетование	lamentation,complaint
сетовать	lament,complain
сеточный	net,grid
сеттер	setter
сетчатка	retina
сетчатокрылые	neuroptera
сеть	web,network,meshes,toils,system
сефард	sephardic
сеча	battle
сечение	section
сечка	chopping-knife,cleaver,chopped straw,chaff
сечь	flog,whip
сеялка	seeding-machine,sowing-machine
сеяльщик	sower
сеянец	seedling
сеятель	sower,disseminator
сеять	sow,drill,lose
сеяться	drizzle
сжалиться	take pity
сжатие	pressing,pressure,grasp,grip,compression
сжатость	compression,conciseness
сжатый	condensed,compressed,concise
сжать	to squeeze,clench,compress
сжаться	shrink,contract,compress,clench
сжевать	chew up
сжечь	burn,consume,sting
сжигание	burning
сжигать	burn,cremate
сжижать	liquefy
сжижение	liquation,liquefaction
сжиженный	liquefied
сжимаемость	condensability,compressibility
сжимать	squeeze,compress
сжиматься	shrink,contract,compress,clench
сзади	from behind,from the rear,behind
сзывать	call,gather
си	b,si
си-бемоль	b flat
сиамский	siamese
сибарит	sybarite
сибаритка	sybarite
сибаритский	sybaritic
сибаритство	sybaritism,sybaritic life
сибилянт	sibilant
сибирский	siberian
сибирь	siberia
сибиряк	siberian
сибирячка	siberian
сивилла	sibyl
сивка	grey horse
сиволапый	rough,clumsy
сивуха	raw vodka
сивушный	fusel
сивый	grey
сиг	sig
сигануть	jump,leap
сигара	cigar
сигарета	cigarette
сигаретка	cigarette
сигаретница	cigarette-case
сигарный	cigar
сигарообразный	cigar-shaped
сигать	jump,leap
сигнал	signal,call,notification,warning
сигнализация	signalling
сигнализировать	signal,give signals,give a signal,warn,give warning
сигналист	bugler
сигнальный	signal
сигнальщик	signalman,signaller
сигнатура	label,signature
сигнатурка	label,signature
сиделка	nurse
сидение	seat
сиденье	seat,seat on the transport
сидерит	siderite
сидеть	sit,be perched,be,fit
сидр	cider
сидя	sitting
сидячий	sitting,sedentary,sessile
сиена	sienna
сиенит	syenite
сиживать	be in habit of sitting,be wont to sit
сизигия	syzygy
сизокрылый	grey-winged
сизый	dove-coloured,warm grey,bluish
сиккатив	siccative
сикомор	sycamore
сила	power
силач	strong man
силикат	silicate
силикон	silicones
силиконовый	silicone
силиться	try,make efforts
силиций	silicium
силком	by force
силлабический	syllabic
силлогизм	syllogism
силовой	power,involving strength
силой	by force
силок	noose,snare
силомер	dynamometer
силон	silon
силос	silo,silage
силосный	silo
силосование	siloing,ensilage
силосовать	silo,ensile
силосорезка	silage-cutter,ensilage-cutter
силурийский	silurian
силуэт	silhouette
сильно	strongly,violently,heavily,greatly,badly
сильнодействующий	virulent,drastic
сильный	strong,powerful,fierce,keen,intense
сильф	sylph
сильфида	sylph
симбиоз	symbiosis
символ	symbol
символизация	symbolization
символизировать	symbolize
символизм	symbolism
символика	symbolism
символист	symbolist
символистский	symbolist
символический	symbolic,symbolistic
символичность	symbolicalness
символичный	symbolistic
симметрический	symmetric
симметричность	symmetry
симметричный	symmetric
симметрия	symmetry
симония	simony
симпатизировать	be in sympathy,sympathize
симпатический	sympathetic
симпатичность	likableness
симпатичный	likable,nice,attractive,cute
симпатия	liking,sympathy,sweetheart
симпозиум	symposium
симптом	symptom
симптоматика	symptomatology
симптоматический	symptomatic
симптоматичность	symptomatic character
симулировать	simulate,feign,sham
симулянт	simulator,malingerer
симулянтка	simulator,malingerer
симуляция	simulation
симфонический	symphonic
симфония	symphony
синагога	synagogue
синдетикон	seccotine
синдикализм	syndicalism
синдикалист	syndicalist
синдикалистский	syndicalist,syndicalistic
синдикат	syndicate
синдицированный	syndicated
синдицировать	syndicate
синдром	syndrome
синева	blue colour,blue
синеватый	bluish
синеглазый	blue-eyed
синедрион	sanhedrim
синекдоха	synecdoche
синекура	sinecure
синель	chenille
синерама	cinerama
синеть	show blue
синий	dark blue
синить	blue,rinse in blue
синица	tomtit,blue titmouse,blue tit
синклит	senate,council
синкопа	syncope
синкопический	syncopic
синкретизм	syncretism
синкретический	syncretic
синод	synod
синодальный	synodal
синодский	synodic
синолог	sinologist
синология	sinology
синоним	synonym
синонимика	study of synonyms,synonyms
синонимический	synonymous,synonymic
синонимичный	synonymous,synonymic
синонимия	synonymy,synonymity
синоптик	weather forecaster,weather-chart maker
синоптика	weather forecasting
синоптический	weather,synoptical
синтагма	syntagma
синтаксис	syntax
синтаксический	syntactic
синтез	synthesis
синтезировать	synthesize
синтетика	synthetic materials
синтетический	synthetic
синтетичность	synthetical character
синус	sine,sinus
синусоида	sinusoid
синусоидальный	sinusoidal
синхронизатор	synchronizer
синхронизация	synchronization
синхронизировать	synchronize
синхронизм	synchronism
синхронический	synchronistic
синхрония	synchronism
синхронно	synchronously
синхронный	synchronous
синхроскоп	synchroscope
синхротрон	synchrotron
синхрофазотрон	synchrophasotron
синхроциклотрон	synchrocyclotron
синька	blue,blueing,blueprint
синьор	signor
синьора	signora
синюха	cyanosis
синяк	bruise
сионизм	zionism
сионист	zionist
сионистка	zionist
сионистский	zionist,zionistic
сипеть	make hoarse sounds,speak hoarsely
сиплый	husky,hoarse
сирена	siren
сиреневый	lilac
сирень	lilac
сириец	syrian man
сирийка	syrian woman
сирийский	syrian
сириус	sirius,dog-star
сирокко	sirocco
сироп	syrup,sirup
сирота	orphan
сиротливо	lonely
сиротливый	lonely,lone
сиротский	adjective of сирота
сиротство	orphanhood,orphanage
сирый	orphaned,lonely,deserted
система	system
систематизация	systematization
систематизировать	systematize
систематика	systematization,taxonomy
систематически	systematically,methodically
систематический	systematic,methodical
систематичность	systematic character
систематичный	systematic
системный	systemic
систола	systole
сиська	boob
ситец	printed cotton,calico,chintz
ситник	sitnik,rush
ситный	sifted
сито	sieve,bolter
ситуация	situation
ситцевый	adjective of ситец
сифилидолог	syphilologist
сифилидология	syphilology
сифилис	syphilis
сифилитик	syphilitic
сифилитический	syphilitic
сифон	siphon
сифонный	siphon
сиюминутный	momentary
сияние	radiance,aureole,aureola
сиятельство	excellency
сиять	shine,beam
сияющий	shining,beaming
скабиоза	scabious
скабрёзность	scabrousness
скабрёзный	scabrous
сказ	tale,narration in first person
сказание	story,legend
сказануть	blurt out
сказать	say,tell,speak,talk
сказаться	affect,tell,report oneself
сказитель	narrator
сказительница	narrator
сказка	tale,fairy tale,story
сказочка	fairytale
сказочник	tale-teller,story-teller
сказочно	dreamy,fabulously
сказочный	fairy-tale,fantastic,improbable,dreamlike,fabulous
сказуемое	predicate
сказываться	tell,report oneself
скакалка	skipping-rope
скакать	skip,jump,caper,hop,lope
скаковой	race,racing
скакун	fast horse,runner,racer
скала	rock
скалистый	rocky
скалиться	grin
скалка	rolling-pin,beater
скалолаз	rock-climber,climbing
скалолазание	rock-climbing
скалывать	split off,chop off,pin together
скальд	skald,scald
скальный	rock,rocky
скальп	scalp
скальпель	scalpel
скальпировать	scalp
скамеечка	small bench
скамейка	bench,long seat with a back
скамья	bench
скандал	scandal,row,brawl
скандализировать	scandalize
скандалист	brawler,trouble-maker,rowdy
скандалистка	brawler,trouble-maker,rowdy
скандалить	brawl,make a row
скандальность	scandalousness
скандальный	scandalous,quarrelsome,rowdy
скандий	scandium
скандинав	scandinavian
скандинавка	scandinavian
скандинавский	scandinavian
скандирование	scansion
скандировать	scan,to chant
скапливать	store,save
скапливаться	accumulate,pile up,gather,crowd
скапывать	shovel away,level with a spade
скарабей	scarab
скарб	goods and chattels
скаред	stingy person,niggard,skinflint
скаредничать	be tight-fisted
скаредность	stinginess,niggardliness
скаредный	stingy,niggardly,tight-fisted,mean
скарификатор	scarifier
скарлатина	scarlet fever,scarlatina
скарлатинный	scarlatinal,scarlatinous
скармливать	feed
скат	slope,descent,ray
скатать	roll,crib,roll down
скататься	get be rolled up,roll down,slide slip
скатерть	table-cloth
скатерть-самобранка	magic table-cloth
скатить	roll,crib,roll down
скатиться	get be rolled up,roll down,slide slip
скатка	greatcoat roll
скатывать	roll,crib,roll down
скатываться	get be rolled up,roll down,slide slip
скаут	scout
скафандр	diving-dress,diving-suit,spacesuit,environmental suit
скачать	download
скачивать	download
скачка	gallop
скачками	by leaps,by fits and starts
скачки	horse-race,race-meeting,the races
скачкообразный	spasmodic,uneven
скачок	advance,leap
скашивать	now,squint,bevel,slope
скважина	chink,slit,hole,well
скважистость	porosity,porousness
скважистый	porous
сквалыга	miser,skinflint
сквалыжник	miser,skinflint
сквер	public garden
скверна	filth,pollution
скверно	badly
сквернослов	ribald,foul-mouthed man
сквернословие	ribaldry,foul language
сквернословить	use foul bad language
скверный	bad,nasty,foul
сквитаться	be quits even
сквозить	show,be seen through,be transparent,be threadbare
сквозной	through
сквозняк	draught
сквозь	through
скворец	starling
скворечник	starling-house
скелет	skeleton,framework
скепсис	scepsis
скептик	sceptic
скептицизм	scepticism
скептический	sceptic
скерцо	scherzo
скетч	sketch
скидка	discount,reduction
скидывать	take throw off,knock off
скидываться	pay up,pony up,chip in
скиния	tabernacle,sanctuary
скинуть	take throw off,knock off
скинуться	have a whip-round,chip in
скипетр	sceptre
скипидар	turpentine
скипидарный	turpentine
скирд	stack,rick
скирда	stack,rick
скирдовать	rick,stack
скисать	sour
скиснуть	sour
скит	small and secluded monastery
скиталец	wanderer
скитальческий	wandering
скитание	wandering
скитаться	wander,stray
скиф	scythian
скифский	scythian
склад	storehouse,depot,store,a lot of,constitution
складировать	store
складка	fold,plait,crease,pleat,tuck
складно	well
складной	folding,collapsible
складность	harmony,coherence
складный	well-knit,well set-up,well-built,well-rounded,neat
складской	warehouse
складчатый	plicate,folded
складчина	clubbing,pooling
склады	syllables
складывать	put,lay,pile,heap,stack
складываться	turn-out,come together,form
склевать	peak
склеивать	glue together,paste together,stick together
склеиваться	stick together
склеить	glue together,paste together,stick together
склеп	vault,crypt
склероз	sclerosis
склерозный	sclerotic
склерома	scleroma
склеротический	sclerous,sclerotic
скликать	call together
склока	squabble,row
склон	slope,hillside
склонение	declination,inclination,declension
склонить	incline,bend,bow,try to persuade,to win over
склониться	incline,bend,be inclined,yield,decline
склонность	inclination,disposition,bent,turn
склонный	tend to
склоняемость	declinability
склоняемый	declinable
склонять	incline,bend,bow,try to persuade,to win over
склоняться	incline,bend,be inclined,yield,decline
склочник	squabbler,trouble-maker
склочница	squabbler,trouble-maker
склочничать	squabble,cause rows
склочный	troublesome,trouble-making
склянка	phial,bottle,bell,watch-glass,hour-glass
склёвывать	peak
склёпка	riveting
склёпывать	rivet
скоба	cramp,crampon,staple,shackle,metal piece that connect sth.
скобель	shaving-knife,drawing-knife,spokeshave
скобка	bracket
скоблить	scrape,plane,scarify
скованность	constraint
скованный	constrained
сковать	forge,hammer out,forge together,chain,fetter
сковорода	frying-pan,pan
сковородень	dovetail
сковородка	frying pan
сковывать	forge,hammer out,forge together,chain,fetter
сковыривать	pick off,scratch off
сковырнуть	pick off,scratch off
скок	gallop
сколачивать	knock together,knit together
сколок	copy
сколопендра	scolopendra
сколотить	knock together,knit together
сколь	how
скольжение	sliding,slip,skid
скользить	slip,slide,float,glide
скользкий	slippery
скользко	slippery
скользнуть	slip,slide
скользящий	sliding
сколько	how much,how many
сколько-нибудь	any
скомандовать	give out an order,order,command
скомкать	crumple,dash off,race through
скоморох	skomorokh,buffoon,mountebank
скоморошество	being a skomorokh,buffoonery
скоморошничать	play the buffoon
скомпоновать	arrange,arrange the parts,put together,group
скомпрометировать	compromise
сконструировать	construct,design
сконфуженный	abashed,confounded,disconcerted
сконфузить	disconcert,embarrass,put out
сконцентрировать	concentrate,mass
скончаться	pass away,decease
скопец	eunuch,skopets,skoptsi
скопидом	hoarder,miser
скопидомство	thrift,thriftiness
скопировать	copy,imitate,mimic,cut
скопиться	accumulate,pile up,gather,crowd
скопище	gathering,crowd
скопление	accumulation,gathering,crowd
скопом	in a crowd,all together,en masse
скорая	ambulance (emergency vehicle)
скорбеть	grieve,mourn
скорбный	sorrowful,mournful,doleful
скорбут	scurvy
скорбь	sorrow,grief
скорее	rather,sooner
скорей	rather,sooner
скорлупа	shell
скормить	feed
скорняк	furrier,fur-dresser
скоро	quickly,fast,soon
скороварка	pressure cooker
скороговорка	patter,tongue-twister
скоромиться	break a fast,eat meat,during a fast
скоропалительный	hasty,rash
скорописный	cursive
скоропись	cursive
скороподъёмность	rate of climb
скоропортящийся	perishable
скоропреходящий	transitory,transient,fugacious
скороспелка	early fruit,vegetable
скороспелый	precocious,early,fast-ripening
скоростной	velocity,high-speed,rapid
скорострельность	rate of fire
скорострельный	rapid-firing,quick-firing
скорость	speed,rate,velocity
скоросшиватель	loose-leaf binder
скоротать	while away,pass
скоротечный	transient,fulminant
скороход	fast runner,footman
скорпион	scorpion
скорчиться	writhe,squirm
скорый	quick,fast,near,forthcoming
скос	slant,chamfer
скостить	strike off,knock off
скот	cattle,livestock,brute,beast
скотина	brute,beast
скотник	cattle-farm worker,farmyard worker,farmyard
