the	тем
portal:sports	Портал:Спорт
portal:star	Проект:Астрономические объекты/Звёзды
portal:star wars	Портал:Звёздные войны
portal:statistics	Портал:Статистика
portal:submarine	Портал:Подводные лодки
portal:sudan	Портал:Судан
portal:sufism	Портал:Суфизм
portal:sweden	Портал:Швеция
portal:switzerland	Портал:Швейцария
portal:syria	Портал:Сирия
portal:tajikistan	Портал:Таджикистан
portal:tank	Портал:Бронетехника
portal:taoism	Портал:Даосизм
portal:tasmania	Портал:Тасмания
portal:technology	Портал:Техника
portal:telecommunication	Портал:Телефонная связь
portal:television	Портал:Телевидение
portal:tennis	Портал:Теннис
portal:thailand	Портал:Таиланд
portal:the beatles	Портал:The Beatles
portal:theatre	Портал:Театр
portal:theatre/selected article	Портал:Театр/Избранная статья
portal:tibet	Портал:Тибет
portal:time	Портал:Время
portal:trains	Портал:Железнодорожный транспорт
portal:transhumanism	Портал:Трансгуманизм
portal:transport	Портал:Транспорт
portal:tunisia	Портал:Тунис
portal:turkey	Портал:Турция
portal:uganda	Портал:Уганда
portal:ukraine	Портал:Украина
portal:united kingdom	Портал:Великобритания
portal:united nations	Портал:ООН
portal:united states	Портал:США
portal:uruguay	Портал:Уругвай
portal:uzbekistan	Портал:Узбекистан
portal:venezuela	Портал:Венесуэла
portal:video games	Портал:Компьютерные игры
portal:vietnam	Портал:Вьетнам
portal:visual arts	Портал:Живопись
portal:volcanoes	Портал:Вулканы
portal:wales	Портал:Уэльс
portal:war	Портал:Война
portal:water	Портал:Гидрология
portal:yemen	Портал:Йемен
portal:zimbabwe	Портал:Зимбабве
portal:zoroastrianism	Портал:Зороастризм
portalbera	Портальбера
portastudio	Портастудия
portbou	Портбоу
porte mars	Марсовы ворота
portein	Портайн
porteiras	Портейрас
porteirinha	Портейринья
porteirão	Портейран
portel-des-corbières	Портель-де-Корбьер
portelândia	Портеландия
porterella	Портерелла
portet-d'aspet	Порте-д’Аспе
portet-de-luchon	Порте-де-Люшон
portet-sur-garonne	Порте-сюр-Гарон
portezuelo	Портесуэло
porteño	Портеньо
portfolio investment	Портфельные инвестиции
porthaon	Порфаон
portigliola	Портильола
portimão	Портиман
portitovtsi	Портитовци
portland cement	Портландцемент
portland observatory	Портлендская обсерватория
portland opera	Портленд Опера
portland pirates	Портленд Пайретс
portland project	Проект Portland
portland timbers	Портленд Тимберс
portland vase	Портлендская ваза
portlandite	Портландит
portland–troutdale airport	Аэропорт Портленд-Траутдейл
portlaw	Портло
portliness	дородностей,дородности,дородность,дородностью,дородностям,дородностями
portmagee	Портмаги
portman road	Портман Роуд
portnablagh	Портнабла
portneuf—jacques-cartier	Порнёф — Жак-Картье
portnov	Портнов
porto flip	Порто-флип
porto franco	Порту-Франку
porto metro	Метрополитен Порту
porto open	Открытый чемпионат Порту по теннису
porto real	Порту-Реал
porto torres	Порто-Торрес
porto walter	Порту-Валтер
porto-novo	порто-ново
porto-vecchio	Порто-Веккьо
portobuffolè	Портобуффоле
portocannone	Портоканноне
portoferraio	Портоферрайо
portogruaro	Портогруаро
portolan chart	Портулан
portomaggiore	Портомаджоре
portomarín	Пуэртомарин
portorož	Порторож
portoscuso	Портоскузо
portoviejo	Портовьехо
portrait miniature	Портретная миниатюра
portrait-painter	портретист,портретиста,портретистам,портретистами,портретистах,портретисте
portrane	Портрейн
portroe	Портро
portsalon	Портсалон
portugal current	Португальское течение
portugal day	День Португалии
portugal open	Открытый чемпионат Эшторила по теннису
portugalete	Португалете
portugal–russia relations	Российско-португальские отношения
portuguese alphabet	Португальский алфавит
portuguese angola	Португальская Западная Африка
portuguese army	Сухопутные войска Португалии
portuguese brazilian	Португальцы в Бразилии
portuguese ceylon	Португальский Цейлон
portuguese cuisine	Португальская кухня
portuguese dinheiro	Динейро
portuguese dogfish	Белоглазая колючая акула
portuguese empire	Колонии Португалии
portuguese escudo	Португальский эскудо
portuguese grammar	Грамматика португальского языка
portuguese guinea	Португальская Гвинея
portuguese guitar	Португальская гитара
portuguese india	Португальская Индия
portuguese inquisition	Португальская инквизиция
portuguese language	Португальский язык
portuguese literature	Португальская литература
portuguese luxembourger	Португальцы в Люксембурге
portuguese malacca	Португальская Малакка
portuguese mozambique	Португальская Восточная Африка
portuguese navy	Военно-морские силы Португалии
portuguese people	Португальцы
portuguese real	Португальский реал
portuguese timor	Португальский Тимор
portuguese wikipedia	Португальская Википедия
portuguese wine	Виноделие в Португалии
portula	Портула
portulacaceae	Портулаковые
portumna	Портамна
portunes	Портун
portuñol	Портуньол
poruchik	Поручик
porumbrei	Порумбрей
porzana	Погоныши
porzuna	Порсуна
poręba	Поремба
posadnik	Посадник
posanges	Посанж
posankka	Свиноутка
poschiavo	Поскьяво
poseokjeong	Пхосокчон
poseritz	Позериц
poserna	Позерна
poshekhonsky district	Пошехонский район
poshlost	Пошлость
posidippus	Посидипп
posina	Позина
posio	Посио
position angle	Позиционный угол
position operator	Оператор координаты
position-finding	ориентировочно,ориентировочен,ориентировочна,ориентировочный
positive element	Положительный оператор
positive feedback	Положительная обратная связь
positive hardcore	Позитивный хардкор
positive law	Позитивное право
positive liberty	Позитивная свобода
positive psychology	Позитивная психология
positive psychotherapy	Позитивная психотерапия
positive slovenia	Позитивная Словения
positive-definite matrix	Положительно определённая матрица
positivist calendar	Календарь Конта
poskam county	Посгам
poskwitów	Посквитув
posmak river	Посьмак
pospelikhinsky district	Поспелихинский район
pospíšil	Поспишил
pospíšil brothers	Братья Поспишилы
possagno	Поссаньо
possibility theory	Теория возможностей
post box	Почтовый ящик
post grad	Школа выживания выпускников
post horn	Почтовый рожок
post impact	После апокалипсиса
post office	почта
post university	Постонский университет
post-	после-,пост-,за-
post-and-telegraph	почтово-телеграфный
post-bop	Пост-боп
post-britpop	Пост-брит-поп
post-capitalism	Посткапитализм
post-concussion syndrome	Контузия
post-grunge	Пост-гранж
post-hardcore	Пост-хардкор
post-horses	перекладные,перекладным,перекладными,перекладных
post-impressionism	Постимпрессионизм
post-industrial music	Пост-индастриал
post-industrial society	Постиндустриальное общество
post-it note	Бумага для заметок
post-marxism	Постмарксизм
post-materialism	Постматериализм
post-metal	Пост-метал
post-mortem	вскрытие,вскрытия,вскрытии,вскрытию,вскрытием,вскрытий
post-mortem photography	Посмертная фотография
post-natal	послеродовой
post-office	почте,почта,почт,почтам,почтами,почтах
post-office box	Абонентский ящик
post-partum	послеродовой
post-postmodernism	Пост-постмодернизм
post-production	Пост-продакшн
post-punk	Пост-панк
post-revolutionary	послереволюционный
post-rock	Пост-рок
post-soviet states	Постсоветское пространство
post-structuralism	Постструктурализм
post-theism	Пост-теизм
post-thrombotic syndrome	Посттромбофлебитический синдром
post-tonic	послеударный
post-transition metal	Постпереходные металлы
post-viral cough	Постинфекционный кашель
post-war	послевоенен,послевоенна,послевоенно,послевоенный
post-war singapore	Послевоенный Сингапур
postage due	Доплатная марка
postage meter	Франкировальная машина
postage stamp	Почтовая марка
postal card	Маркированная почтовая карточка
postal code	Почтовый индекс
postal currency	Марки-деньги
postal history	История почты
postal museum	Почтовый музей
postal order	Почтовый перевод
postalesio	Посталезио
postau	Постау
postbauer-heng	Постбауэр-Хенг
postconstructivism	Постконструктивизм
postcript	приписка,припискам,приписками,приписках,приписке,приписки
postcrisis	посткризисный
postcrossing	Посткроссинг
postdramatic theatre	Постдраматический театр
posterization	Изогелия
posterstein	Постерштайн
postfeld	Постфельд
postfinance-arena	ПостФинанс-Арена
postgenderism	Постгендеризм
postgraduate education	Послевузовское профессиональное образование
posthistory	постистория
posthumous marriage	Посмертный брак
posthumous name	Посмертное имя
posthumous trial	Посмертный суд
postiglione	Постильоне
postil	Постилла
postlow	Постлов
postminimalism	Постминимализм
postmodern architecture	Постмодернизм в архитектуре
postmodern literature	Литература постмодернизма
postmodern music	Постмодернизм в музыке
postmodern theatre	Постмодернизм в театре
postmünster	Постмюнстер
postnikov	Постников
postojna cave	Постойнска-Яма
postoloprty	Постолопрти
postosuchus	Постозух
postpartum depression	Постнатальная депрессия
postpositivism	Постпозитивизм
postscriptum	постскриптум
postsecularism	Постсекуляризм
postsynaptic potential	Постсинаптический потенциал
postterm pregnancy	Переношенная беременность
postua	Постуа
postupice	Поступице
post–turing machine	Машина Поста
posyet	Посьет
posyet bay	Залив Посьета
posynomial	Позином
pot-au-feu	Потофё
pot-bellied	пузатый,пузат,пузата,пузато
pot-bellied pig	Вьетнамская вислобрюхая свинья
pot-boiler	халтура,халтур,халтурам,халтурами,халтурах,халтуре
pot-hole	выбоина,выбоин,выбоинам,выбоинами,выбоинах,выбоине
pot-holer	спортсмен-спелеолог
pot-house	корчем,корчма,корчмам,корчмами,корчмах,корчме
pot-pourri	попурри
potala palace	Потала
potamochoerus	Кистеухие свиньи
potamogalinae	Выдровые землеройки
potamogetonaceae	Рдестовые
potamotrygonidae	Речные хвостоколы
potapenko	Потапенко
potaro river	Потаро
potaro-siparuni	Потаро-Сипаруни
potassium channel	Калиевые каналы
potassium-40	Калий-40
potation	напиток,выпивка,питьё
potato chip	Чипсы
potato masher	Картофелемялка
potato pancake	Драники
potato riots	Картофельный бунт
potato salad	Картофельный салат
potato-digger	картофелекопалка,картофелекопалкам,картофелекопалками,картофелекопалках,картофелекопалке,картофелекопалки
potato-planter	картофелесажалка,картофелесажалкам,картофелесажалками,картофелесажалках,картофелесажалке,картофелесажалки
potbelly stove	Буржуйка
potemkin stairs	Потёмкинская лестница
potemkin village	Потёмкинские деревни
potengi	Потенжи
potential energy	Потенциальная энергия
potential flow	Потенциальное течение
potential superpowers	Потенциальная сверхдержава
potential temperature	Потенциальная температура
potential theory	Теория потенциала
potential well	Потенциальная яма
pothières	Потьер
potiche	Отчаянная домохозяйка
potigny	Потиньи
potiraguá	Потирагуа
potirendaba	Потирендаба
potiretama	Потиретама
potocharka	Поточарка
potoche	Поточе
potochnitsa	Поточница
potocki palace	Дворец Потоцких
potoki	Потоки
potomac river	Потомак
potoroo	Потору
potosí	Потоси
potporanj	Потпорань
potrekhnovo	Потрехново
potríes	Потриэс
potsdam conference	Потсдамская конференция
potsdam declaration	Потсдамская декларация
potsdam gate	Потсдамские ворота
pottendorf	Поттендорф
pottenstein	Поттенштайн
potter wasp	Одиночные осы
potter's field	Скудельница
potter's wheel	Гончарный круг
pottiga	Поттига
pottum	Поттум
pottuvil	Поттувил
potzehne	Потцене
potzneusiedl	Поцнойзидль
poté	Поте
pouan-les-vallées	Пуан-ле-Валле
poubeau	Пубо
pouch, germany	Поух
poucharramet	Пушарраме
pouched frog	Сумчатая жаба
poudis	Пуди
poueyferré	Пуэферре
pougny	Пуньи
pouillac	Пуйяк
pouillenay	Пуйне
pouilly-en-auxois	Пуйи-ан-Осуа
pouilly-sur-saône	Пуйи-сюр-Сон
pouilly-sur-serre	Пуйи-сюр-Сер
pouilly-sur-vingeanne	Пуйи-сюр-Венжан
poulaines	Пулен
poulan-pouzols	Пулан-Пузоль
poulaphouca	Пулафука
pouldouran	Пульдуран
pouligny-notre-dame	Пулиньи-Нотр-Дам
pouligny-saint-martin	Пулиньи-Сен-Мартен
pouligny-saint-pierre	Пулиньи-Сен-Пьер
poullignac	Пуллиньяк
poulpeasty	Поллписти
poultry farming	Птичник
poultry-breeding	куроводства,куроводстве,куроводство,куроводством,куроводству
poultry-maid	птичниц,птичница,птичницам,птичницами,птичницах,птичнице
poultry-man	птичник,птичника,птичникам,птичниками,птичниках,птичнике
poultry-woman	птичниц,птичница,птичницам,птичницами,птичницах,птичнице
poultry-yard	птичник,птичника,птичникам,птичниками,птичниках,птичнике
poumarous	Пумарус
pound scots	Шотландский фунт
pound sign	Символ фунта
pound sterling	Фунт стерлингов
pound–rebka experiment	Эксперимент Паунда и Ребки
pour sacha	Для Саши
pourbus	Пурбус
pourchères	Пуршер
poursac	Пурсак
poursay-garnaud	Пурсе-Гарно
pouru-aux-bois	Пурю-о-Буа
pouru-saint-remy	Пурю-Сен-Реми
poussanges	Пуссанж
poussy-la-campagne	Пусси-ла-Кампань
pousthomy	Пустоми
poustinia	Пустынь
pouy-de-touges	Пуи-де-Туж
pouy-sur-vannes	Пуи-сюр-Ван
pouyastruc	Пуйастрюк
pouzac	Пузак
pouzols-minervois	Пузоль-Минервуа
pouzy-mésangy	Пузи-Мезанжи
povalirazh	Повалирыж
povarovo	Поварово
povarskaya street	Поварская улица
povedilla	Поведилья
poveglia	Повелья
povenets	Повенец
poverty-ridden	нищий,нищ,нища,нище
poverty-stricken	нищий,нищ,нища,нище,убог,убога
povidone-iodine	Повидон-йод
poviglio	Повильо
povoinik	повойник,повойника,повойникам,повойниками,повойниках,повойнике
povoletto	Поволетто
povorino	Поворино
povorinsky district	Поворинский район
pow wow	Пау-вау
powder box	Пороховница
powder coating	Порошковая окраска
powder diffraction	Порошковая рентгеновская дифракция
powder metallurgy	Порошковая металлургия
powder river	Паудер-Ривер
powder-actuated tool	Строительно-монтажный пистолет
powder-case	пудрениц,пудреница,пудреницам,пудреницами,пудреницах,пудренице
powder-flask	пороховницах,пороховниц,пороховница,пороховницам,пороховницами,пороховнице
powder-like	порошкообразен,порошкообразна,порошкообразно,порошкообразный
powdered milk	Сухое молоко
powdered sugar	Сахарная пудра
powderpost beetle	Древогрызы
powell doctrine	Доктрина Пауэлла
power analysis	Атака по энергопотреблению
power associativity	Степенная ассоциативность
power cable	Силовой кабель
power car	Моторный вагон
power chord	Пауэр-аккорд
power engineering	Электроэнергетика
power factor	Коэффициент мощности
power function	Степенная функция
power girl	Пауэр Гёрл
power kite	Кайт
power machines	Силовые машины
power metal	Пауэр-метал
power noise	Пауэр-нойз
power outage	Авария в энергосистеме
power plant	электростанция
power pop	Пауэр-поп
power quality	Качество электрической энергии
power rangers	Могучие рейнджеры
power rating	Номинальный режим
power series	Степенной ряд
power set	Булеан
power shovel	Механическая лопата
power station	Электростанция
power steering	Усилители рулевого управления
power supply	Вторичный источник электропитания
power take-off	Вал отбора мощности
power tool	Электрический инструмент
power window	Электростеклоподъёмник
power-driver	механический
power-law fluid	Степенной закон вязкости жидкостей
power-line communication	Связь по ЛЭП
power-loving	властолюбив,властолюбива,властолюбиво,властолюбивый
power-system protection	Релейная защита и автоматика
powerbocking	Бокинг
powered parachute	Паралёт
powerful number	Полнократное число
powhatan language	Поухатан
powiat	Повят
powidl	Повидло
powsin	Повсин
powązki cemetery	Старые Повонзки
poxoréo	Пошореу
poxviridae	Поксвирусы
poyakonda	Пояконда
poyang lake	Поянху
poyans	Пуайан
poyatos	Поятос
poyenberg	Пойенберг
poynting–robertson effect	Эффект Пойнтинга — Робертсона
poysdorf	Пойсдорф
pozaldez	Посальдес
pozalmuro	Посальмуро
pozanco	Посанко
pozantı	Позанты
pozdnyakov	Поздняков
pozharsky district	Пожарский район
poznań	Познань
poznań army	Армия «Познань»
poznań county	Познанский повят
poznań fortress	Крепость Познань
poznań open	Открытый чемпионат Познани по теннису
poznań-ławica airport	Познань-Лавица
pozniaky	Позняки
pozo-lorente	Посо-Лоренте
pozoamargo	Посоамарго
pozoantiguo	Посоантигуо
pozoblanco	Пособланко
pozohondo	Посоондо
pozondón	Посондон
pozorrubio, spain	Посоррубио
pozowice	Позовице
pozzilli	Поццилли
pozzolengo	Поццоленго
pozzoleone	Поццолеоне
pozzomaggiore	Поццомаджоре
pozzonovo	Поццоново
poá	Поа
poás volcano	Поас
poção	Посан
poções	Посойнс
poëzat	Поэза
połaniec	Поланец
połczyn-zdrój	Полчин-Здруй
poświętne	Посвентне
požarevac	Пожаревац
požega cathedral	Собор Пожеги
požega-slavonia county	Пожежско-Славонская жупания
poʻouli	Чернолицая гавайская цветочница
pp cell	PP-клетка
pp-2000	ПП-2000
pp-90	ПП-90
pp-90m1	ПП-90М1
pp-93	ПП-93
ppd-40	Пистолет-пулемёт Дегтярёва
ppl park	Пи-пи-эл Парк
ppru-1	ППРУ-1
ppsh-41	Пистолет-пулемёт Шпагина
pq tree	PQ-дерево
prabhutaratna	Прабхутаратна
prabumulih	Прабумулих
prabuty	Прабуты
prachatice	Прахатице
pracht	Прахт
pracinha	Прасинья
prackenbach	Праккенбах
practical joke	Розыгрыш
practical magic	Практическая магия
practical philosophy	Практическая философия
practical shooting	Практическая стрельба
practicalness	практицизм,практицизма,практицизмам,практицизмами,практицизмах,практицизме
pracuúba	Пракууба
pradales	Прадалес
pradalunga	Прадалунга
pradamano	Прадамано
pradejón	Прадехон
pradelles-cabardès	Прадель-Кабардес
pradelles-en-val	Прадель-ан-Валь
praden	Праден
prader–willi syndrome	Синдром Прадера — Вилли
prades-d'aubrac	Прад-д’Обрак
prades-salars	Прад-Салар
pradettes	Прадет
pradillo	Прадильо
pradinas	Прадина
pradines	Прадин
pradières	Прадьер
pradleves	Прадлевес
pradoluengo	Прадолуэнго
pradons	Прадон
pradosegar	Прадосегар
prads-haute-bléone	Пра-От-Блеон
pradère-les-bourguets	Прадер-ле-Бургетс
pradópolis	Прадополис
praecambridium	Прекамбридий
praetorian guard	Преторианская гвардия
praga-południe	Прага-Полудне
praga-północ	Прага-Пулноц
pragal	Прагал
pragelato	Праджелато
prags	Брайес
pragsdorf	Прагсдорф
prague 1	Прага 1
prague 2	Прага 2
prague 21	Прага 21
prague 3	Прага 3
prague 4	Прага 4
prague 5	Прага 5
prague 6	Прага 6
prague 7	Прага 7
prague castle	Пражский Град
prague conservatory	Пражская консерватория
prague groschen	Пражский грош
prague marathon	Пражский марафон
prague metro	Пражский метрополитен
prague metronome	Метроном в Праге
prague offensive	Пражская операция
prague school	Пражский лингвистический кружок
prague spring	Пражская весна
prague zoo	Пражский зоопарк
prague-east district	Прага-восток
prague-west district	Прага-запад
praguerie	Прагерия
praguian	пражанин,пражанка,пражский
prahali	Прахали
prahasta	Прахаста
prahova	Прахова
praiano	Праяно
prainha	Праинья
prairie dog	Луговые собачки
prairie falcon	Мексиканский сокол
prairie fever	Закат в прериях
prairie school	Школа прерий
praishartha	Ведарамбха
prajadhipok	Прачадипок
prajila	Пражила
prajñaptivāda	Праджняптивада
prakasam district	Пракасам
prakṛti	Пракрити
pralboino	Пральбоино
prali	Прали
prallethrin	Праллетрин
pralormo	Пралормо
pralungo	Пралунго
pramaggiore	Прамаджоре
prambachkirchen	Прамбахкирхен
pramet	Прамет
pramiracetam	Прамирацетам
pramlintide	Прамлинтид
pramollo	Прамолло
pranburi	Пранбури
pranchita	Праншита
prandocin-iły	Прандоцин-Илы
prandocin-wysiołek	Прандоцин-Высёлек
prandtl number	Число Прандтля
prangins	Пранжен
prangli	Прангли
prank call	Пранк
prankishness	проказливостей,проказливости,проказливость,проказливостью,проказливостям,проказливостями
prankstars	Звёздные шалости
pranles	Пранль
pranzac	Пранзак
praporshchik	Прапорщик
prarabdha karma	Прарабдха-карма
prarolo	Прароло
prarostino	Праростино
prasaṅgika	Прасангака
prasco	Праско
prascorsano	Праскорсано
prasdorf	Прасдорф
prasinohaema	Зеленокровные сцинки
prasiolite	Празиолит
praso	Празо
prasthanatrayi	Прастханатрайя
prasutagus	Прасутаг
praszka	Прашка
prat-bonrepaux	Пра-Бонрепо
pratdip	Пратдип
pratella	Прателла
pratfall effect	Эффект оплошности
pratiglione	Пратильоне
pratinas	Пратин
pratincole	тиркушка
pratinha	Пратинья
prato reaction	Реакция Прато
prato-di-giovellina	Прато-ди-Джовеллина
pratovecchio	Пратовеккьо
pratt institute	Институт Пратта
pratteln	Праттельн
prattler	трепач,трепача,трепачам,трепачами,трепачах,трепаче
pratval	Пратваль
pratviel	Пратвьель
pratyekabuddha	Пратьекабудда
pratápolis	Пратаполис
pratânia	Пратания
pratītyasamutpāda	Пратитья-самутпада
prauzhda	Праужда
pravda-class submarine	Подводные лодки типа «Правда»
pravda.ru	Правда.Ру
pravdino	Правдино
pravdinsk	Правдинск
pravdinsky district	Правдинский район
pravdolyub	Правдолюб
pravets	Правец
pravia	Правия
pravisdomini	Правиздомини
pravoberezhny	Правобережный
pravoslavlevia	Православлевия
prawn ball	Креветочные шарики
praxagoras	Праксагор Косский
praxeas	Праксей
praxedes	Святая Пракседа
praxidike	Праксидика
praxinoscope	Праксиноскоп
praxis school	Школа праксиса
praxithea	Праксифея
prayer beads	Чётки
prayer book	Молитвенник
prayer bump	Молитвенная шишка
prayer flag	Молитвенный флаг
prayer rope	Вервица
prayer rug	Молитвенный коврик
prayer wheel	Молитвенный барабан
prayer-book	молитвенник,молитвенника,молитвенникам,молитвенниками,молитвенниках,молитвеннике
prayojana	Прайоджана
prayols	Прейоль
prazzo	Праццо
pre-	до-,пред-,пре-
pre-adhesive mail	Домарочные знаки почтовой оплаты
pre-capitalist	докапиталистический
pre-celtic	Докельтское население Западной Европы
pre-class	доклассов,доклассова,доклассово,доклассовый
pre-code hollywood	Докодексовый Голливуд
pre-columbian era	Доколумбовы цивилизации
pre-conscription	допризывен,допризывна,допризывно,допризывный
pre-ejaculate	предсемя,предэякулят
pre-eminence	примат,примата,приматам,приматами,приматах,примате
pre-eminent	первенствующ,первенствующа,первенствующе,первенствующий
pre-established	предустановленен,предустановленна,предустановленно,предустановленный
pre-exponential factor	Фактор частоты
pre-imperialist	доимпериалистический
pre-indo-european languages	Доиндоевропейский субстрат
pre-main-sequence star	Звёзды до главной последовательности
pre-monopolistic	домонополистический
pre-nectarian	Донектарский период
pre-order	Предварительный заказ
pre-preg	Препреги
pre-production	Пре-продакшн
pre-raphaelite brotherhood	Прерафаэлиты
pre-reform	дореформенный
pre-replication complex	Пререпликационный комплекс
pre-revolutionary	дореволюционен,дореволюционна,дореволюционно,дореволюционный
pre-school	дошколен,дошкольна,дошкольно,дошкольный
pre-socratic philosophy	Досократики
pre-tridentine mass	Месса до Тридентского собора
pre-war	довоенна,довоенно,довоенный
preadaptation	Преадаптация
preadditive category	Предаддитивная категория
preadolescence	Предподростковый возраст
prebaetic system	Кордильера-Пребетика
prebberede	Преббереде
prebbleton	Преблтон
prebitz	Пребиц
preboreal	Пребореальный период
precambrian rabbit	Кролик в докембрии
precancel	Предварительное гашение
precarium	Прекарий
precast concrete	Железобетонные изделия
precenicco	Преченикко
preceptial	менторский,назидательный,наставительный
preceptress	наставница,наставниц,наставницам,наставницами,наставницах,наставнице
preciosity	манерности,манерность,манерностью
precious coral	Благородный коралл
precipitale	осаждать
precision agriculture	Точное земледелие
precisionism	Прецизионизм
precordillera	Прекордильеры
predappio	Предаппио
predator 2	Хищник 2
predazzo	Предаццо
predeal	Предял
predefine	предопределить,предопределять
predestine	судить,предопределить,предопределять
predgorny district	Предгорный район
predicative expression	Предикатив
predicativity	предикативностей,предикативности,предикативность,предикативностью,предикативностям,предикативностями
prediction market	Рынок предсказаний
predictive text	Предиктивный ввод текста
predictor–corrector method	Схема предиктор-корректор
preding	Прединг
predjama castle	Предъямский замок
predlitz-turrach	Предлиц-Туррах
prednicarbate	Предникарбат
prednimustine	Преднимустин
predore	Предоре
predosa	Предоза
predslav	Предслав
preferans	преф,преферанс,пулька
preferred stock	Привилегированная акция
prefix code	Префиксный код
prefixal	приставочен,приставочна,приставочно,приставочный
prefixion	префиксация
preformationism	Преформизм
preganziol	Преганцьоль
pregarten	Прегартен
pregnancy category	Категории лекарственных препаратов
pregnancy test	Тест на беременность
pregolya river	Преголя
preguinho	Коэлью Нету,Жуан
prehistoric art	Первобытное искусство
prehistoric asia	Доисторическая Азия
prehistoric britain	Доисторическая Британия
prehistoric egypt	Доисторический Египет
prehistoric europe	Каменный век в Европе
prehistoric georgia	Доисторическая Грузия
prehistoric ireland	Доисторическая Ирландия
prehistoric italy	Доисторическая Италия
prehistoric korea	Доисторическая Корея
prehistoric scotland	Доисторическая Шотландия
prehistoric thailand	Доисторический Таиланд
prehistoric wales	Доисторический Уэльс
prehistoric warfare	Доисторические войны
preignan	Преньян
preigney	Пренье
preimage attack	Атака нахождения прообраза
preischeid	Прайшайд
preitenegg	Прайтенег
preixan	Прексан
preixana	Прешана
preixens	Прешенс
preiļi	Прейли
preiļi district	Прейльский район
preki	Преки
prekmurje	Прекмурье
prekolnitsa	Преколница
prekraste	Прекрысте
prelest	Духовная прелесть
preljub	Григорий Прелюб
prellenkirchen	Прелленкирхен
prelom	Прелом
prelà	Прела
premana	Премана
premariacco	Премариакко
premarital sex	Добрачный секс
premature burial	Погребение заживо
premeaux-prissey	Премо-Приссе
premeno	Премено
premenstrual syndrome	Предменструальный синдром
premetro	Подземный трамвай
premich	Премих
premier league	Английская Премьер-лига
premilcuore	Премилькуоре
premium rush	Срочная доставка
premnitz	Премниц
premolo	Премоло
premonstratensians	Премонстранты
premosello-chiovenda	Премозелло-Кьовенда
premuda	Премуда
prenatal development	Течение беременности у человека
prenatal diagnosis	Пренатальная диагностика
prenois	Пренуа
prenoxdiazine	Преноксдиазин
prenuptial agreement	Брачный договор
prenzlau	Пренцлау
preobrazheniya island	Остров Преображения
preobrazheniye	Преображение
preobrazhenskoye cemetery	Преображенское кладбище
preobrazhensky regiment	Преображенский лейб-гвардии полк
preobrazhentsi	Преображенци
preone	Преоне
preordain	предопределять
preore	Преоре
prepalatal	передненёбный
prepared guitar	Препарированная гитара
prepared piano	Подготовленное фортепиано
preparliament	предпарламент,предпарламента,предпарламентам,предпарламентами,предпарламентах,предпарламенте
prepelița	Препелица
prephenic acid	Префеновая кислота
prepositional case	Предложный падеж
prepotto	Препотто
preprophase	Препрофаза
preprophase band	Препрофазная лента
prerow	Преров
presbyterium	Пресвитерия
preseglie	Презелье
preselentsi	Преселенци
presencio	Пресенсио
present value	Дисконтированная стоимость
present-day	нынешний,текущий,нынешне,нынешня
presentation layer	Представительский уровень
presenzano	Презенцано
presezzo	Презеццо
presicce	Презичче
presidency armies	Армии президентств
president bridge	Президентский мост
presidential issue	Президентский выпуск
presidential library	Президентские библиотеки США
presidential range	Президентский хребет
presidential system	Президентская республика
presidents' trophy	Президентский Кубок
preslava	Преслава
presles	Прель
presles-et-boves	Прель-э-Бов
presles-et-thierny	Прель-э-Тьерни
presly	Прели
presnensky district	Пресненский район
presnyakov brothers	Братья Пресняковы
press brake	Листогиб
press cake	Жмых
press camera	Пресс-камера
press gallery	Галерея прессы
press kit	Пресс-кит
press release	Пресс-релиз
press service	Пресс-служба
press-button	кнопка,кнопки,кнопке,кнопками,кнопках,кнопкам
press-centre	пресс-центра,пресс-центрам,пресс-центре,пресс-центрах,пресс-центр,пресс-центрами
press-clipping	вырезки,вырезка,вырезками,вырезкам,вырезках,вырезке
press-cutting	вырезки,вырезка,вырезками,вырезкам,вырезках,вырезке
press-mark	шифр,шифра,шифрам,шифрами,шифрах,шифре
press-up	выжимание,выжиманием,выжимании,выжиманий,выжиманию,выжимания
pressana	Прессана
pressath	Прессат
pressbaum	Пресбаум
presseck	Прессек
pressiat	Пресья
pressig	Прессиг
pressignac	Прессиньяк
pressins	Прессен
pressure cooking	Скороварка
pressure gradient	Барический градиент
pressure measurement	Измерение давления
pressure regulator	Газовый редуктор
pressure sensor	Датчик давления
pressure suit	Высотно-компенсирующий костюм
pressure switch	Дифференциальный манометр
pressure ulcer	Пролежень
pressure vessel	Сосуд под давлением
pressure washer	Мойка высокого давления
pressure-gauge	манометр,манометра,манометрам,манометрами,манометрах,манометре
presta valve	Клапан Presta
prestahnúkur	Престахнукюр
prester john	Пресвитер Иоанн
prestigiousness	престижности,престижность,престижностью
prestine	Престине
preston street	Престон-стрит
prestosuchus	Престозух
prestoy	Престой
prestressed concrete	Предварительно напряжённый железобетон
prestwich medal	Медаль Прествича
presyaka	Пресяка
preterism	Претеризм
preterition	умолчанию,умолчание,умолчанием,умолчании,умолчаний,умолчания
preterm birth	Недоношенный ребёнок
pretersensual	сверхчувственна,сверхчувственно,сверхчувственный
pretonic	предударен,предударна,предударно,предударный
pretoria bridge	Мост Претория
pretoria convention	Преторийская конвенция
pretoro	Преторо
